x_value,power,SF,CR,temperature,pressure,humidity,altitude,sender_rssi
306,3,7,5,26.03,998.69,65.01,122.1,-95
307,3,7,5,26.03,998.71,65.05,121.93,-99
310,3,7,5,26.1,998.67,65.21,121.93,-100
311,3,7,5,26.23,998.69,65.49,121.93,-99
312,3,7,5,26.27,998.71,65.64,121.43,-98
313,3,7,5,26.16,998.75,65.23,121.26,-98
314,3,7,5,26.05,998.79,65.13,121.09,-99
315,3,7,5,25.92,998.83,65.17,120.59,-98
316,3,7,5,25.9,998.83,65.26,120.59,-99
317,3,7,5,25.95,998.81,65.36,120.75,-94
319,3,7,5,26.02,998.87,64.78,120.42,-98
320,3,7,5,26.01,998.91,64.51,120.25,-100
321,3,7,5,26.0,998.87,64.28,120.59,-99
322,3,7,5,25.97,998.81,64.21,120.75,-98
323,3,7,5,25.87,998.81,64.56,120.92,-97
324,3,7,5,25.89,998.77,65.22,121.09,-97
325,3,7,5,25.91,998.73,65.85,121.26,-98
326,3,7,5,25.77,998.75,65.88,121.09,-99
327,3,7,5,25.65,998.77,65.91,120.92,-98
328,3,7,5,25.5,998.79,65.76,121.26,-98
329,3,7,5,25.44,998.79,65.79,121.09,-95
330,3,7,5,25.45,998.75,66.03,121.26,-100
331,3,7,5,25.58,998.75,66.62,121.43,-98
332,3,7,5,25.6,998.75,67.05,121.26,-99
333,3,7,5,25.42,998.75,66.66,121.43,-99
334,3,7,5,25.21,998.79,66.28,120.92,-97
335,3,7,5,25.05,998.79,66.22,121.09,-97
336,3,7,5,25.04,998.81,66.59,120.92,-99
337,3,7,5,25.26,998.81,67.57,120.75,-99
338,3,7,5,25.57,998.85,68.36,120.75,-99
339,3,7,5,25.83,998.85,68.32,120.59,-99
340,3,7,5,26.01,998.83,67.81,120.75,-97
341,3,7,5,26.07,998.83,67.14,120.75,-98
342,3,7,5,26.06,998.79,66.52,120.75,-98
343,3,7,5,26.16,998.79,66.17,121.26,-97
344,3,7,5,26.18,998.79,65.92,121.09,-99
345,3,7,5,26.18,998.65,65.66,121.93,-99
346,3,7,5,26.16,998.79,65.37,121.09,-100
347,3,7,5,26.08,998.85,64.8,120.42,-100
348,3,7,5,25.97,998.83,64.43,120.75,-99
349,3,7,5,25.77,998.83,64.32,120.59,-98
350,3,7,5,25.56,998.83,64.38,120.75,-97
351,3,7,5,25.35,998.83,64.56,120.75,-97
352,3,7,5,25.19,998.87,64.88,120.59,-95
353,3,7,5,25.07,998.83,65.26,120.92,-97
354,3,7,5,25.03,998.83,65.82,120.92,-98
