x_value,power,SF,CR,latitude,lat,longitude,lon,temperature,pressure,humidity,altitude,sender_rssi
93,14,7,5,4547.1543,N,452.7205,E,35.51,996.67,28.36,138.79,-72
94,14,7,5,4547.1543,N,452.721,E,35.64,996.69,28.35,138.71,-71
95,14,7,5,4547.1543,N,452.7211,E,35.82,996.7,28.31,138.71,-72
96,14,7,5,4547.1543,N,452.7212,E,35.96,996.69,28.13,138.71,-72
97,14,7,5,4547.1543,N,452.7213,E,36.16,996.69,27.98,138.79,-71
98,14,7,5,4547.1543,N,452.7215,E,36.41,996.67,28.03,138.79,-72
99,14,7,5,4547.1543,N,452.7216,E,36.54,996.65,27.95,139.13,-72
100,14,7,5,4547.1543,N,452.7217,E,36.64,996.65,27.79,138.96,-72
101,14,7,5,4547.1543,N,452.7219,E,36.67,996.65,27.52,138.96,-71
102,14,7,5,4547.1543,N,452.7219,E,36.6,996.67,27.3,139.13,-71
103,14,7,5,4547.1543,N,452.722,E,36.53,996.65,27.22,138.79,-72
104,14,7,5,4547.1543,N,452.7221,E,36.48,996.65,27.2,138.79,-72
105,14,7,5,4547.1543,N,452.7221,E,36.49,996.67,27.19,138.96,-73
106,14,7,5,4547.1543,N,452.7221,E,36.56,996.65,27.2,139.13,-72
107,14,7,5,4547.1543,N,452.722,E,36.58,996.69,27.15,139.13,-71
108,14,7,5,4547.1543,N,452.7218,E,36.58,996.67,27.2,139.13,-71
109,14,7,5,4547.1543,N,452.7218,E,36.6,996.65,27.22,139.3,-71
110,14,7,5,4547.1543,N,452.7218,E,36.56,996.67,27.23,139.3,-71
111,14,7,5,4547.1543,N,452.7218,E,36.45,996.61,27.2,139.3,-71
112,14,7,5,4547.1543,N,452.7218,E,36.38,996.65,27.22,139.13,-72
113,14,7,5,4547.1543,N,452.7218,E,36.32,996.63,27.24,139.13,-71
114,14,7,5,4547.1543,N,452.7218,E,36.25,996.67,27.34,139.13,-72
115,14,7,5,4547.1543,N,452.7218,E,36.37,996.67,27.53,138.79,-72
116,14,7,5,4547.1543,N,452.7218,E,36.48,996.67,27.59,138.71,-72
117,14,7,5,4547.1543,N,452.7218,E,36.54,996.67,27.62,138.79,-72
118,14,7,5,4547.1543,N,452.7218,E,36.45,996.88,27.85,137.7,-71
