x_value,power,SF,CR,temperature,pressure,humidity,altitude,sender_rssi,sender_snr
61,0,7,5,20.37,994.27,55.8,157.46,-91,8.0
62,0,7,5,20.74,995.08,57.05,150.78,-87,8.0
63,0,7,5,21.07,995.51,56.4,146.81,-82,8.5
64,0,7,5,21.33,1008.88,55.9,-13.56,-83,8.0
65,0,7,5,21.49,1006.54,55.48,80.23,-83,8.5
66,0,7,5,21.62,1001.17,54.95,106.87,-82,8.5
67,0,7,5,21.69,1000.03,54.52,111.32,-80,10.0
68,0,7,5,21.76,999.12,54.1,118.9,-77,8.5
69,0,7,5,21.83,999.34,53.94,114.44,-76,8.5
70,0,7,5,21.91,1003.18,53.57,85.19,-76,8.5
71,0,7,5,21.97,1001.92,53.65,85.69,-79,8.5
72,0,7,5,22.06,1010.48,53.7,42.97,-74,8.5
73,0,7,5,22.17,1004.06,53.6,25.93,-67,8.5
