x_value,power,SF,CR,temperature,pressure,humidity,altitude,sender_rssi,sender_snr
98,3,7,5,34.4,994.74,23.04,155.43,-119,-6.0
99,3,7,5,34.38,994.72,23.04,155.26,-119,-7.5
100,3,7,5,34.36,994.72,23.05,155.26,-119,-7.0
101,3,7,5,34.34,994.74,23.05,155.26,-119,-4.75
102,3,7,5,34.33,994.72,23.07,155.09,-120,-7.5
103,3,7,5,34.31,994.74,23.08,155.26,-119,-6.0
104,3,7,5,34.3,994.72,23.09,155.09,-119,-5.5
105,3,7,5,34.28,994.7,23.11,155.09,-120,-6.5
106,3,7,5,34.27,994.72,23.14,155.6,-119,-4.75
107,3,7,5,34.28,994.7,23.14,155.26,-119,-5.25
108,3,7,5,34.29,994.72,23.16,155.26,-119,-6.0
109,3,7,5,34.29,994.72,23.16,155.26,-118,-5.5
110,3,7,5,34.29,994.72,23.16,155.26,-119,-5.25
111,3,7,5,34.3,994.7,23.16,155.26,-119,-5.25
112,3,7,5,34.33,994.72,23.16,155.43,-120,-5.5
113,3,7,5,34.33,994.72,23.14,155.26,-119,-6.25
114,3,7,5,34.34,994.7,23.14,155.26,-119,-5.75
115,3,7,5,34.35,994.74,23.13,155.43,-119,-7.0
116,3,7,5,34.36,994.72,23.11,155.43,-120,-6.0
117,3,7,5,34.36,994.7,23.09,155.43,-120,-8.75
118,3,7,5,34.35,994.72,23.08,155.6,-120,-7.5
119,3,7,5,34.32,994.68,23.06,155.77,-119,-6.75
120,3,7,5,34.28,994.66,23.07,155.94,-120,-5.5
121,3,7,5,34.26,994.68,23.09,155.77,-119,-5.0
122,3,7,5,34.25,994.7,23.13,155.6,-119,-6.0
123,3,7,5,34.25,994.7,23.17,155.77,-119,-7.5
124,3,7,5,34.26,994.68,23.22,155.77,-120,-7.25
125,3,7,5,34.25,994.7,23.26,155.77,-120,-7.5
126,3,7,5,34.22,994.7,23.26,155.77,-120,-7.5
127,3,7,5,34.21,994.7,23.29,155.6,-119,-6.75
128,3,7,5,34.19,994.7,23.28,155.77,-119,-7.5
129,3,7,5,34.18,994.66,23.26,155.6,-120,-6.5
131,3,7,5,34.13,994.66,23.27,155.6,-120,-6.0
132,3,7,5,34.16,994.68,23.35,155.6,-120,-6.25
133,3,7,5,34.22,994.7,23.47,155.6,-119,-7.5
134,3,7,5,34.29,994.7,23.56,155.43,-120,-6.25
135,3,7,5,34.37,994.74,23.59,155.43,-120,-6.25
136,3,7,5,34.42,994.68,23.61,155.77,-119,-7.75
138,3,7,5,34.47,994.72,23.45,155.43,-119,-6.75
139,3,7,5,34.49,994.72,23.37,155.43,-119,-6.5
140,3,7,5,34.53,994.72,23.29,155.09,-119,-6.25
141,3,7,5,34.54,994.76,23.24,155.26,-120,-6.5
142,3,7,5,34.53,994.76,23.19,155.09,-119,-7.25
143,3,7,5,34.5,994.68,23.13,155.43,-119,-6.75
145,3,7,5,34.5,994.74,23.17,155.09,-119,-6.75
146,3,7,5,34.5,994.72,23.13,155.26,-120,-7.0
147,3,7,5,34.49,994.74,23.09,155.09,-118,-6.25
149,3,7,5,34.46,994.72,23.04,155.43,-120,-7.75
150,3,7,5,34.42,994.72,23.03,155.43,-120,-7.5
152,3,7,5,34.36,994.72,23.09,155.26,-120,-7.5
