x_value,power,SF,CR,latitude,lat,longitude,lon,temperature,pressure,humidity,altitude,sender_rssi
82,14,7,5,4547.1421,N,452.722,E,37.4,998.28,32.09,125.56,-70
84,14,7,5,4547.1421,N,452.7222,E,37.23,998.26,32.25,125.39,-73
85,14,7,5,4547.1421,N,452.7223,E,37.21,998.28,32.35,125.05,-73
86,14,7,5,4547.1421,N,452.7226,E,37.2,998.3,32.34,125.22,-75
87,14,7,5,4547.1421,N,452.7228,E,37.2,998.3,32.31,125.05,-80
88,14,7,5,4547.1421,N,452.7228,E,37.23,998.26,32.37,125.56,-85
89,14,7,5,4547.1421,N,452.7227,E,37.32,998.3,32.35,125.22,-83
90,14,7,5,4547.1416,N,452.7227,E,37.41,998.3,32.29,125.39,-79
91,14,7,5,4547.1416,N,452.7228,E,37.52,998.26,32.22,125.56,-72
92,14,7,5,4547.1416,N,452.7229,E,37.67,998.28,32.13,125.56,-76
93,14,7,5,4547.1416,N,452.7229,E,37.8,998.28,32.06,125.22,-74
94,14,7,5,4547.1416,N,452.723,E,37.83,998.28,31.91,125.22,-73
95,14,7,5,4547.1416,N,452.7231,E,37.87,998.26,31.85,125.39,-76
96,14,7,5,4547.1416,N,452.7231,E,37.91,998.26,31.8,125.22,-76
97,14,7,5,4547.1416,N,452.7232,E,37.99,998.28,31.73,125.39,-79
98,14,7,5,4547.1416,N,452.7232,E,38.14,998.26,31.67,125.22,-77
99,14,7,5,4547.1416,N,452.7231,E,38.23,998.28,31.56,125.22,-76
100,14,7,5,4547.1416,N,452.723,E,38.29,998.32,31.4,125.22,-75
101,14,7,5,4547.1416,N,452.7229,E,38.34,998.3,31.31,125.22,-76
102,14,7,5,4547.1416,N,452.7229,E,38.4,998.26,31.23,125.39,-75
103,14,7,5,4547.1416,N,452.7229,E,38.46,998.28,31.13,125.56,-75
104,14,7,5,4547.1416,N,452.7229,E,38.51,998.24,31.06,125.56,-77
105,14,7,5,4547.1416,N,452.7229,E,38.5,998.26,30.97,125.72,-81
107,14,7,5,4547.1416,N,452.7229,E,38.43,998.24,31.04,125.56,-79
108,14,7,5,4547.1416,N,452.7229,E,38.42,998.26,31.02,125.39,-77
